date,team,opponent,odds,grade,ev,units,result,profit
2025-11-05,MTL,NJD,140,A+,10.5%,N/A,LOSS,-1.00u
2025-11-02,NJD,ANA,-120,A,7.3%,N/A,LOSS,-1.00u
2025-11-28,NJD,BUF,-105,B+,2.6%,0.00670788434231051,WIN,0.95u
2025-11-12,CHI,NJD,135,A,4.7%,0.008678439977554254,LOSS,-1.00u
2025-11-20,NJD,FLA,130,A+,8.8%,0.01698590090851892,LOSS,-1.00u
2025-11-01,NJD,LAK,-102,A+,24.9%,N/A,WIN,0.98u
2025-11-22,NJD,PHI,-110,A,3.7%,0.01016846078071791,LOSS,-1.00u
2025-10-30,SJS,NJD,195,A+,29.1%,N/A,WIN,1.95u
2025-10-30,UNDER 6.5,NJD,-102,A,8.7%,N/A,LOSS,-1.00u
2025-11-18,NJD,TBL,145,A+,19.3%,0.03329374503461783,LOSS,-1.00u
2025-11-15,NJD,WSH,132,A+,8.7%,0.01647160169462982,WIN,1.32u
2025-11-28,CHI,NSH,-104,A+,5.1%,0.013382225144992667,LOSS,-1.00u
2025-12-04,NSH,FLA,195,A+,12.4%,0.015921450707076623,WIN,2.43u
2025-11-04,NSH,MIN,184,A+,24.4%,N/A,LOSS,-1.00u
2025-11-10,NSH,NYR,163,B+,6.3%,N/A,LOSS,-1.00u
2025-10-30,PHI,NSH,-137,B+,5.7%,N/A,WIN,0.69u
2025-11-16,PIT,NSH,-132,B+,3.0%,0.00978398155365863,WIN,0.91u
2025-10-30,NYI,CAR,185,A+,13.5%,N/A,LOSS,-1.00u
2025-10-30,OVER 6.5,NYI,100,B,3.1%,N/A,WIN,1.00u
2025-11-15,NYI,COL,222,A+,12.3%,0.013865327137594832,LOSS,-1.00u
2025-11-20,DET,NYI,-130,A+,5.6%,0.018150205665666067,LOSS,-1.00u
2025-11-11,NJD,NYI,-145,B+,6.6%,N/A,LOSS,-1.00u
2025-12-06,NYI,TBL,125,B+,3.0%,0.005967546143767932,WIN,1.25u
2025-11-14,NYI,UTA,170,B+,2.5%,0.00373240087130037,WIN,1.70u
2025-11-13,NYI,VGK,160,A+,7.4%,0.01157964711966119,WIN,1.60u
2025-10-31,NYI,WSH,192,A+,20.1%,N/A,WIN,1.92u
2025-10-31,OVER 5.5,NYI,-122,A+,21.0%,N/A,LOSS,-1.00u
2025-11-28,BOS,NYR,125,A+,5.5%,0.010926416889497758,LOSS,-1.00u
2025-11-26,NYR,CAR,164,B+,3.5%,0.005314209863234918,WIN,1.64u
2025-11-15,NYR,CBJ,-110,A,3.9%,0.010736980104478024,WIN,0.91u
2025-11-20,NYR,COL,180,A+,7.4%,0.010333374254393334,LOSS,-1.00u
2025-11-07,DET,NYR,-109,B,4.7%,N/A,LOSS,-1.00u
2025-10-30,NYR,EDM,146,B,3.3%,N/A,WIN,1.46u
2025-12-04,NYR,OTT,142,A+,8.0%,0.014095641873317098,WIN,2.13u
2025-11-01,SEA,NYR,120,A+,22.0%,N/A,LOSS,-1.00u
2025-11-12,NYR,TBL,115,A+,9.5%,0.020757344613944184,WIN,1.15u
2025-11-22,UTA,NYR,-115,A,3.8%,0.010883062378348228,WIN,0.87u
2025-11-18,NYR,VGK,122,B+,3.0%,0.00606710169926824,LOSS,-1.00u
2025-11-20,OTT,ANA,-125,A,4.6%,0.014297914181033104,WIN,0.80u
2025-11-05,OTT,BOS,-127,B,4.2%,N/A,LOSS,-1.00u
2025-11-24,OTT,LAK,126,A+,6.7%,0.013300286728259784,LOSS,-1.00u
2025-11-02,OTT,MTL,105,B,4.8%,N/A,LOSS,-1.00u
2025-11-07,PHI,OTT,105,B,4.2%,N/A,LOSS,-1.00u
2025-11-22,SJS,OTT,145,A+,12.3%,0.021286358759629337,LOSS,-1.00u
2025-11-28,OTT,STL,100,A+,6.4%,0.016005089935933137,LOSS,-1.00u
2025-11-26,OTT,VGK,158,A+,5.5%,0.008759490874907308,WIN,1.58u
2025-11-15,PHI,DAL,180,A+,11.7%,0.01628015461620752,LOSS,-1.00u
2025-11-26,PHI,FLA,158,B+,2.6%,0.004090088707826493,WIN,1.58u
2025-11-04,PHI,MTL,135,A,9.3%,N/A,WIN,1.35u
2025-11-05,PHI,NSH,105,B+,6.4%,N/A,WIN,1.02u
2025-11-14,PHI,STL,118,A+,7.3%,0.015443676317509921,WIN,1.16u
2025-11-24,PHI,TBL,155,A,4.0%,0.006374303340626054,LOSS,-1.00u
2025-11-28,PIT,CBJ,120,A+,8.1%,0.016799197926069678,WIN,1.20u
2025-10-30,PIT,MIN,145,A+,24.9%,N/A,WIN,1.45u
2025-11-07,PIT,NJD,180,A+,31.7%,N/A,LOSS,-1.00u
2025-11-14,PIT,NSH,-110,A+,7.6%,0.020958511343962715,LOSS,-1.00u
2025-12-01,PIT,PHI,116,A+,10.0%,0.02152150132958009,WIN,1.16u
2025-12-04,PIT,TBL,143,A+,16.4%,0.028742040095554464,WIN,1.78u
2025-11-03,PIT,TOR,158,B,3.8%,N/A,LOSS,-1.00u
2025-11-01,PIT,WPG,150,A+,44.0%,N/A,LOSS,-1.00u
2025-11-20,SEA,CHI,-105,A,3.5%,0.009292359186259942,WIN,0.95u
2025-11-08,SEA,DAL,185,A+,42.5%,N/A,LOSS,-1.00u
2025-11-18,SEA,DET,146,A+,9.9%,0.016918415368267648,LOSS,-1.00u
2025-12-04,SEA,EDM,176,A+,31.6%,0.04482801555797178,LOSS,-1.25u
2025-11-23,SEA,NYI,135,A+,8.8%,0.016359350005994647,LOSS,-1.00u
2025-11-22,PIT,SEA,-122,A,4.4%,0.013414110691358068,LOSS,-1.00u
2025-11-07,SEA,STL,146,A+,40.3%,N/A,WIN,1.46u
2025-11-13,SJS,CGY,138,A+,13.3%,0.02404054098072987,LOSS,-1.00u
2025-11-26,SJS,COL,320,A+,21.4%,0.01673680496311631,LOSS,-1.00u
2025-12-05,SJS,DAL,225,A+,8.1%,0.009042278316700767,LOSS,-1.00u
2025-11-10,SJS,MIN,175,A+,38.5%,N/A,WIN,1.75u
