date,sport,mkt,matchup,side,agsTier,units,staked,outcome,top2Pct,meanPct,nFor,forWallets
2026-06-14,MLB,ML,"St. Louis Cardinals @ Minnesota Twins",away,PREMIUM,3,1,LOSS,57.36,57.36,1,"1e8f33:57%"
2026-06-14,MLB,ML,"Tampa Bay Rays @ Los Angeles Angels",away,WEAK,0.25,1,WIN,72.16,64.43,6,"5b1e50:75%,0f9d74:69%"
2026-06-14,NHL,ML,"Hurricanes @ Golden Knights",away,WEAK,0.25,1,WIN,72.61,64.68,3,"4d2125:80%,710c2e:65%"
2026-06-15,MLB,ML,"New York Mets @ Cincinnati Reds",home,LEAN,3,1,WIN,68.19,62.65,4,"bc44b0:69%,bc3532:67%"
2026-06-16,MLB,ML,"Detroit Tigers @ Houston Astros",home,PREMIUM,4,1,WIN,80.53,66.04,8,"ad88a3:82%,bc35e3:79%"
2026-06-16,MLB,ML,"Kansas City Royals @ Washington Nationals",home,PREMIUM,6,1,WIN,73.83,60.8,8,"5b1e50:74%,7923c4:73%"
2026-06-16,MLB,ML,"Miami Marlins @ Philadelphia Phillies",home,LEAN,4,1,WIN,77.93,64.03,7,"ad88a3:82%,5b1e50:74%"
2026-06-16,MLB,ML,"San Francisco Giants @ Atlanta Braves",home,LEAN,4,1,LOSS,74.76,62.19,7,"bc35e3:79%,0f9d74:70%"
2026-06-17,MLB,ML,"Miami Marlins @ Philadelphia Phillies",away,ELITE,2.5,1,WIN,55.12,55.12,2,"cd2f63:56%,1e8f33:54%"
2026-06-17,MLB,ML,"Toronto Blue Jays @ Boston Red Sox",home,ELITE,3,1,LOSS,58.24,56.75,3,"77f662:60%,cd2f63:56%"
2026-06-18,MLB,ML,"Cleveland Guardians @ Milwaukee Brewers",home,PREMIUM,4,1,LOSS,67.12,56.77,3,"ad88a3:76%,4c64aa:58%"
2026-06-18,MLB,ML,"New York Mets @ Philadelphia Phillies",away,PREMIUM,2.5,1,WIN,75.94,67.27,9,"bc35e3:79%,5b1e50:73%"
2026-06-19,MLB,ML,"Minnesota Twins @ Arizona Diamondbacks",home,PREMIUM,4,1,WIN,67.16,67.16,2,"ad88a3:76%,4c64aa:58%"
2026-06-20,MLB,ML,"Cincinnati Reds @ New York Yankees",home,PREMIUM,4,1,LOSS,48.1,43.18,3,"2f2a9e:53%,b839b3:44%"
2026-06-20,MLB,ML,"New York Mets @ Philadelphia Phillies",home,LOCK,4,1,WIN,78.44,64.62,4,"b70f9a:89%,eeabaf:68%"
2026-06-20,MLB,ML,"San Francisco Giants @ Miami Marlins",home,ELITE,3,1,WIN,52.43,52.43,1,"1e8f33:52%"
2026-06-21,MLB,ML,"Baltimore Orioles @ Los Angeles Dodgers",home,LOCK,3,1,LOSS,64.62,60.35,3,"bc44b0:71%,4c64aa:58%"
2026-06-21,MLB,ML,"New York Mets @ Philadelphia Phillies",home,PREMIUM,3,1,WIN,70.72,63.03,4,"5b1e50:73%,45fc26:69%"
2026-06-22,MLB,ML,"Houston Astros @ Toronto Blue Jays",home,ELITE,3,1,WIN,68.57,68.57,1,"eeabaf:69%"
2026-06-23,MLB,ML,"Atlanta Braves @ San Diego Padres",away,PREMIUM,3,1,LOSS,74.47,66.8,6,"bc35e3:78%,5b1e50:70%"
