date,sport,mkt,matchup,side,agsTier,units,staked,tracked,outcome,top2Pct,nFor
2026-06-09,MLB,ML,"Minnesota Twins @ Detroit Tigers",away,PREMIUM,2.5,1,0,LOSS,62.48,3
2026-06-09,MLB,ML,"New York Yankees @ Cleveland Guardians",away,LEAN,0.5,1,0,WIN,68.33,7
2026-06-09,MLB,ML,"Philadelphia Phillies @ Toronto Blue Jays",home,ELITE,2.5,1,0,WIN,68.33,8
2026-06-09,MLB,ML,"Seattle Mariners @ Baltimore Orioles",home,LOCK,1,1,0,LOSS,69.83,6
2026-06-09,MLB,ML,"Texas Rangers @ Kansas City Royals",away,LOCK,1,1,0,LOSS,62.33,4
2026-06-09,NHL,ML,"Hurricanes @ Golden Knights",away,FADE,0,0,1,WIN,76.04,8
2026-06-10,MLB,ML,"Atlanta Braves @ Chicago White Sox",away,PREMIUM,3,1,0,LOSS,65.78,4
2026-06-10,MLB,ML,"Boston Red Sox @ Tampa Bay Rays",away,LOCK,1,1,0,LOSS,76.08,17
2026-06-10,MLB,ML,"Chicago Cubs @ Colorado Rockies",away,LOCK,1,1,0,LOSS,70.75,6
2026-06-10,MLB,ML,"Cincinnati Reds @ San Diego Padres",away,LEAN,0.5,1,0,LOSS,76.87,6
2026-06-10,MLB,ML,"Houston Astros @ Los Angeles Angels",home,WEAK,0.25,1,0,WIN,68.52,3
2026-06-10,MLB,ML,"Los Angeles Dodgers @ Pittsburgh Pirates",home,LOCK,1,1,0,WIN,71.81,4
2026-06-10,MLB,ML,"Milwaukee Brewers @ Athletics",away,ELITE,5,1,0,LOSS,73.49,4
2026-06-10,MLB,ML,"Minnesota Twins @ Detroit Tigers",away,LOCK,1,1,0,WIN,58.33,1
2026-06-10,MLB,ML,"Philadelphia Phillies @ Toronto Blue Jays",away,FADE,0,0,1,WIN,78.32,7
2026-06-10,MLB,ML,"Seattle Mariners @ Baltimore Orioles",home,PREMIUM,2.5,1,0,WIN,72.04,7
2026-06-10,MLB,ML,"St. Louis Cardinals @ New York Mets",home,LOCK,1,1,0,LOSS,58.33,1
2026-06-10,MLB,ML,"Texas Rangers @ Kansas City Royals",away,LOCK,1,1,0,WIN,63.48,3
2026-06-10,MLB,ML,"Washington Nationals @ San Francisco Giants",away,ELITE,5,1,0,LOSS,72.99,7
2026-06-10,NBA,ML,"Spurs @ Knicks",away,WEAK,0.25,1,0,LOSS,73.16,13
2026-06-11,MLB,ML,"Arizona Diamondbacks @ Miami Marlins",away,LOCK,1,1,0,LOSS,78.04,5
2026-06-11,MLB,ML,"Atlanta Braves @ Chicago White Sox",away,LEAN,0.5,1,0,PUSH,74.46,6
2026-06-11,MLB,ML,"Chicago Cubs @ Colorado Rockies",home,ELITE,5,1,0,LOSS,75.92,4
2026-06-11,MLB,ML,"Los Angeles Dodgers @ Pittsburgh Pirates",away,LEAN,0.5,1,0,WIN,78.04,7
2026-06-11,MLB,ML,"Minnesota Twins @ Detroit Tigers",away,FADE,0,0,1,LOSS,72.45,3
2026-06-11,MLB,ML,"Seattle Mariners @ Baltimore Orioles",away,LEAN,0.5,1,0,LOSS,75.93,5
2026-06-11,MLB,ML,"St. Louis Cardinals @ New York Mets",home,ELITE,5,1,0,WIN,68.33,9
2026-06-11,MLB,ML,"Texas Rangers @ Kansas City Royals",away,LOCK,1,1,0,WIN,66.22,5
2026-06-11,NHL,ML,"Golden Knights @ Hurricanes",home,FADE,0,0,1,WIN,75.13,6
2026-06-12,MLB,ML,"Arizona Diamondbacks @ Cincinnati Reds",away,FADE,0,0,1,WIN,78.74,4
2026-06-12,MLB,ML,"Atlanta Braves @ New York Mets",home,ELITE,5,1,0,WIN,69.57,4
2026-06-12,MLB,ML,"Chicago Cubs @ San Francisco Giants",home,PREMIUM,3,1,0,LOSS,50.46,2
2026-06-12,MLB,ML,"Colorado Rockies @ Athletics",home,LEAN,0.5,1,0,WIN,62.19,3
2026-06-12,MLB,ML,"Detroit Tigers @ Cleveland Guardians",away,WEAK,0.25,1,0,LOSS,66.89,2
2026-06-12,MLB,ML,"Houston Astros @ Kansas City Royals",away,LOCK,1,1,0,WIN,69.46,3
2026-06-12,MLB,ML,"Los Angeles Dodgers @ Chicago White Sox",home,ELITE,2.5,1,0,WIN,78.81,6
2026-06-12,MLB,ML,"Miami Marlins @ Pittsburgh Pirates",home,PREMIUM,3,1,0,LOSS,61.89,5
2026-06-12,MLB,ML,"New York Yankees @ Toronto Blue Jays",home,FADE,0,0,1,WIN,73.02,4
2026-06-12,MLB,ML,"Philadelphia Phillies @ Milwaukee Brewers",home,FADE,0,0,1,WIN,71.7,4
2026-06-12,MLB,ML,"San Diego Padres @ Baltimore Orioles",away,WEAK,0.25,1,0,LOSS,69.57,3
2026-06-12,MLB,ML,"Seattle Mariners @ Washington Nationals",away,LOCK,1,1,0,WIN,64.97,4
2026-06-12,MLB,ML,"St. Louis Cardinals @ Minnesota Twins",home,LEAN,0.5,1,0,WIN,73.02,5
2026-06-13,MLB,ML,"Arizona Diamondbacks @ Cincinnati Reds",away,ELITE,5,1,0,LOSS,65.81,5
2026-06-13,MLB,ML,"Atlanta Braves @ New York Mets",away,PREMIUM,3,1,0,WIN,71.51,6
2026-06-13,MLB,ML,"Chicago Cubs @ San Francisco Giants",away,WEAK,0.25,1,0,WIN,71.51,5
2026-06-13,MLB,ML,"Colorado Rockies @ Athletics",away,PREMIUM,2.5,1,0,LOSS,66.35,2
2026-06-13,MLB,ML,"Detroit Tigers @ Cleveland Guardians",home,ELITE,2.5,1,0,WIN,51.19,2
2026-06-13,MLB,ML,"Miami Marlins @ Pittsburgh Pirates",away,PREMIUM,2.5,1,0,LOSS,61.19,3
2026-06-13,MLB,ML,"New York Yankees @ Toronto Blue Jays",away,FADE,0,0,1,WIN,71.51,7
2026-06-13,MLB,ML,"Philadelphia Phillies @ Milwaukee Brewers",home,PREMIUM,3,1,0,LOSS,67.99,3
2026-06-13,MLB,ML,"Seattle Mariners @ Washington Nationals",home,ELITE,5,1,0,WIN,65.81,5
2026-06-13,MLB,ML,"St. Louis Cardinals @ Minnesota Twins",home,FADE,0,0,1,LOSS,71.51,5
2026-06-13,MLB,ML,"Tampa Bay Rays @ Los Angeles Angels",away,FADE,0,0,1,LOSS,71.51,4
2026-06-13,MLB,ML,"Texas Rangers @ Boston Red Sox",home,LOCK,1,1,0,WIN,62.39,1
2026-06-13,NBA,ML,"Knicks @ Spurs",home,WEAK,0.25,1,0,LOSS,79.72,18
