normalized_name,oddstrader_name,haslametrics_name,dratings_name,conference,ncaa_name,notes,espn_name,barttorvik_name,odds_api_name,cbbd_name
Western Kentucky,Western Kentucky,W. Kentucky,Western Kentucky Hilltoppers,TBD,Western Ky.,✓,Western Kentucky,Western Kentucky,Western Kentucky Hilltoppers,Western Kentucky
Wichita State,Wichita State,Wichita State,Wichita State Shockers,TBD,Wichita St.,✓,Wichita State,Wichita St.,Wichita St Shockers,Wichita State
Wofford,Wofford,Wofford,Wofford Terriers,TBD,Wofford,✓,Wofford,Wofford,Wofford Terriers,Wofford
Wyoming,Wyoming,Wyoming,Wyoming Cowboys,TBD,Wyoming,✓,Wyoming,Wyoming,Wyoming Cowboys,Wyoming
Abilene Christian,Abilene Christian,Abil. Christian,Abilene Christian Wildcats,TBD,Abilene Christian,✓,Abilene Christian,Abilene Christian,Abilene Christian Wildcats,Abilene Christian
Army,Army,Army,Army Black Knights,TBD,Army West Point,✓,Army,Army,,Army
Austin Peay,,Austin Peay,,TBD,Austin Peay,hasla_only,,Austin Peay,Austin Peay Governors,Austin Peay
Bellarmine,,Bellarmine,,TBD,Bellarmine,hasla_only,,Bellarmine,Bellarmine Knights,Bellarmine
Bethune Cookman,,Bethune-Cookman,,TBD,Bethune Cookman,hasla_only,,Bethune Cookman,,Bethune-Cookman
Boise State,,Boise State,,TBD,Boise St.,hasla_only,,Boise St.,Boise State Broncos,Boise State
Boston U,,Boston U,,TBD,Boston U,hasla_only,,Boston University,Boston Univ. Terriers,Boston University
Cal Baptist,,Cal Baptist,,TBD,Cal Baptist,hasla_only,,Cal Baptist,Cal Baptist Lancers,California Baptist
Cal Poly,Cal Poly,Cal Poly,Cal Poly Mustangs,TBD,Cal Poly,✓,Cal Poly,Cal Poly,Cal Poly Mustangs,Cal Poly
California,California,California,California Golden Bears,TBD,California,✓,California,California,California Golden Bears,California
California Golden,,,California Golden,TBD,California Golden,drate_only,,California,California Golden Bears,California
Campbell,Campbell,Campbell,Campbell Fighting Camels,TBD,Campbell,✓,Campbell,Campbell,Campbell Fighting Camels,Campbell
Coppin State,Coppin State,Coppin State,Coppin State Eagles,TBD,Coppin St.,NCAA_FIX,Coppin State,Coppin St.,Coppin St Eagles,Coppin State
Creighton,Creighton,Creighton,Creighton Bluejays,TBD,Creighton,✓,Creighton,Creighton,Creighton Bluejays,Creighton
Csu Bakersfield,,CSU Bakersfield,,TBD,Csu Bakersfield,hasla_only,,Cal St. Bakersfield,,Cal State Bakersfield
Delaware,Delaware,Delaware,Delaware Fightin' Blue Hens,TBD,Delaware,✓,Delaware,Delaware,Delaware Blue Hens,Delaware
Drexel,,Drexel,,TBD,Drexel,hasla_only,,Drexel,Drexel Dragons,Drexel
E. Illinois,,E. Illinois,,TBD,E. Illinois,hasla_only,,Eastern Illinois,,Eastern Illinois
Eastern Washington,Eastern Washington,E. Washington,Eastern Washington Eagles,TBD,Eastern Wash.,✓,Eastern Washington,Eastern Washington,Eastern Washington Eagles,Eastern Washington
East Texas A&M,East Texas A&M,East Texas A&M,Texas A&M Commerce Lions,TBD,East Texas A&M,✓,East Texas A&M,East Texas A&M,,East Texas A&M
East Carolina,East Carolina,ECU,East Carolina Pirates,TBD,East Carolina,✓,East Carolina,East Carolina,East Carolina Pirates,East Carolina
Florida Atlantic,Florida Atlantic,FAU,Florida Atlantic,TBD,Fla. Atlantic,NCAA_FIX,Florida Atlantic,Florida Atlantic,Florida Atlantic Owls,Florida Atlantic
Florida Gulf Coast,Florida Gulf Coast,FGCU,Florida Gulf Coast Eagles,TBD,FGCU,✓,FGCU,Florida Gulf Coast,Florida Gulf Coast Eagles,Florida Gulf Coast
Florida State,,Florida State,,TBD,Florida State,hasla_only,,Florida St.,Florida St Seminoles,Florida State
Purdue Fort Wayne,Purdue Fort Wayne,Fort Wayne,IPFW Mastodons,TBD,Purdue Fort Wayne,✓,Fort Wayne,Purdue Fort Wayne,,Purdue Fort Wayne
Gardner Webb Runnin',,,Gardner Webb Runnin',TBD,Gardner Webb Runnin',drate_only,,Gardner Webb,,Gardner-Webb
George Mason,,George Mason,,TBD,George Mason,hasla_only,,George Mason,George Mason Patriots,George Mason
George Washington,George Washington,G. Washington,George Washington Colonials,TBD,George Washington,✓,George Washington,George Washington,GW Revolutionaries,George Washington
Grand Canyon Antelopes,,,Grand Canyon Antelopes,TBD,Grand Canyon Antelopes,drate_only,,Grand Canyon,,Grand Canyon
Hampton,,Hampton,,TBD,Hampton,hasla_only,,Hampton,Hampton Pirates,Hampton
Houston Christian,,Houston Christian,,TBD,Houston Christian,hasla_only,,Houston Christian,Houston Christian Huskies,Houston Christian
Indiana,,Indiana,,TBD,Indiana,hasla_only,,Indiana,Indiana Hoosiers,Indiana
Iowa,Iowa,Iowa,Iowa Hawkeyes,TBD,Iowa,✓,Iowa,Iowa,Iowa Hawkeyes,Iowa
Jacksonville,Jacksonville,Jacksonville,Jacksonville Dolphins,TBD,Jacksonville,✓,Jacksonville,Jacksonville,Jacksonville Dolphins,Jacksonville
Kansas State,Kansas State,Kansas State,Kansas State Wildcats,TBD,Kansas St.,✓,Kansas State,Kansas St.,Kansas St Wildcats,Kansas State
Kennesaw State,Kennesaw State,Kennesaw State,Kennesaw State Owls,TBD,Kennesaw St.,✓,Kennesaw State,Kennesaw St.,Kennesaw St Owls,Kennesaw State
Louisville,,,Louisville,TBD,Louisville,drate_only,,Louisville,Louisville Cardinals,Louisville
Loyola-chicago,,Loyola-Chicago,,TBD,Loyola-chicago,hasla_only,,Loyola Chicago,Loyola (Chi) Ramblers,Loyola Chicago
Marist,,Marist,,TBD,Marist,hasla_only,,Marist,Marist Red Foxes,Marist
McNeese State,McNeese State,McNeese,McNeese State Cowboys,TBD,McNeese,✓,McNeese State,McNeese St.,McNeese Cowboys,McNeese
Michigan State,Michigan State,Michigan State,Michigan State Spartans,TBD,Michigan St.,✓,Michigan State,Michigan St.,Michigan St Spartans,Michigan State
Montana,Montana,Montana,Montana Grizzlies,TBD,Montana,✓,Montana,Montana,Montana Grizzlies,Montana
Morgan State,Morgan State,Morgan State,Morgan State Bears,TBD,Morgan State,NEW,Morgan State,Morgan St.,Morgan St Bears,Morgan State
Middle Tennessee,Middle Tennessee,MTSU,MTSU Blue Raiders,TBD,Middle Tenn.,✓,Middle Tennessee,Middle Tennessee,Middle Tennessee Blue Raiders,Middle Tennessee
Murray State,Murray State,Murray State,Murray State Racers,TBD,Murray State,✓,Murray State,Murray St.,Murray St Racers,Murray State
N. Illinois,,N. Illinois,,TBD,N. Illinois,hasla_only,,Northern Illinois,,Northern Illinois
North Carolina Central,North Carolina Central,NC Central,North Carolina Central Eagles,TBD,N.C. Central,✓,N.C. Central,North Carolina Central,North Carolina Central Eagles,North Carolina Central
Nebraska,,,Nebraska,TBD,Nebraska,drate_only,,Nebraska,Nebraska Cornhuskers,Nebraska
New Mexico St.,,New Mexico St.,,TBD,New Mexico St.,hasla_only,,New Mexico St.,,New Mexico State
Njit,,,Njit,TBD,NJIT,drate_only,,NJIT,NJIT Highlanders,NJIT
North Carolina,North Carolina,North Carolina,UNC Tar Heels,TBD,North Carolina,✓,North Carolina,North Carolina,North Carolina Tar Heels,North Carolina
North Texas,North Texas,North Texas,North Texas Mean Green,TBD,North Texas,NEW_SUN,North Texas,North Texas,North Texas Mean Green,North Texas
Oakland,,,Oakland,TBD,Oakland,drate_only,,Oakland,,Oakland
Ohio,Ohio,Ohio,Ohio Bobcats,TBD,Ohio,✓,Ohio,Ohio,Ohio Bobcats,Ohio
Old Dominion,Old Dominion,Old Dominion,Old Dominion Monarchs,TBD,Old Dominion,FIXED_SUN,Old Dominion,Old Dominion,Old Dominion Monarchs,Old Dominion
Omaha,,Omaha,,TBD,Omaha,hasla_only,,Nebraska Omaha,Omaha Mavericks,Omaha
Oregon,Oregon,Oregon,Oregon Ducks,TBD,Oregon,✓,Oregon,Oregon,Oregon Ducks,Oregon
Pacific,,Pacific,,TBD,Pacific,hasla_only,,Pacific,Pacific Tigers,Pacific
Portland State,Portland State,Portland State,Portland State Vikings,TBD,Portland St.,✓,Portland State,Portland St.,Portland St Vikings,Portland State
Quinnipiac,Quinnipiac,Quinnipiac,Quinnipiac Bobcats,TBD,Quinnipiac,FIXED_SUN,Quinnipiac,Quinnipiac,Quinnipiac Bobcats,Quinnipiac
Rider,Rider,Rider,Rider Broncs,TBD,Rider,✓,Rider,Rider,Rider Broncs,Rider
Rutgers,Rutgers,Rutgers,Rutgers Scarlet Knights,TBD,Rutgers,✓,Rutgers,Rutgers,Rutgers Scarlet Knights,Rutgers
S. Carolina St.,,S. Carolina St.,,TBD,S. Carolina St.,hasla_only,,South Carolina St.,,South Carolina State
San Diego,San Diego,San Diego,San Diego Toreros,TBD,San Diego,NEW_SUN,San Diego,San Diego,San Diego Toreros,San Diego
Se Missouri St.,,SE Missouri St.,,TBD,Se Missouri St.,hasla_only,,Southeast Missouri St.,,Southeast Missouri State
Se Missouri State Redhawks,,,Se Missouri State Redhawks,TBD,Se Missouri State Redhawks,drate_only,,Southeast Missouri St.,,Southeast Missouri State
South Dakota St.,,South Dakota St.,,TBD,South Dakota St.,hasla_only,,South Dakota St.,,South Dakota State
St. Bonaventure,St. Bonaventure,St. Bonaventure,St. Bonaventure Bonnies,TBD,St. Bonaventure,✓,St. Bonaventure,St. Bonaventure,St. Bonaventure Bonnies,St. Bonaventure
Stetson,Stetson,Stetson,Stetson Hatters,TBD,Stetson,FIXED_SUN,Stetson,Stetson,Stetson Hatters,Stetson
Tennessee St.,,Tennessee St.,,TBD,Tennessee St.,hasla_only,,Tennessee St.,,Tennessee State
UAB,UAB,UAB,UAB Blazers,TBD,UAB,✓,UAB,UAB,UAB Blazers,UAB
Ucf,,UCF,,TBD,Ucf,hasla_only,,UCF,UCF Knights,UCF
UCLA,,,UCLA,TBD,UCLA,drate_only,,UCLA,UCLA Bruins,UCLA
Uic,,,Uic,TBD,Uic,drate_only,,Illinois Chicago,UIC Flames,UIC
Umass Lowell River,,,Umass Lowell River,TBD,Umass Lowell River,drate_only,,UMass Lowell,,UMass Lowell
Umes,,UMES,,TBD,Umes,hasla_only,,UMES,,Maryland Eastern Shore
UNC Asheville,UNC Asheville,UNC Asheville,UNC Asheville Bulldogs,TBD,UNC Asheville,FIXED_SUN,UNC Asheville,UNC Asheville,UNC Asheville Bulldogs,UNC Asheville
Unc Wilmington Seahawks,,,Unc Wilmington Seahawks,TBD,Unc Wilmington Seahawks,drate_only,,UNC Wilmington,,UNC Wilmington
UNLV,Unlv,UNLV,UNLV Rebels,TBD,UNLV,✓,Unlv,UNLV,UNLV Rebels,UNLV
Usc Upstate,,USC Upstate,,TBD,Usc Upstate,hasla_only,,USC Upstate,,South Carolina Upstate
Utah Tech,,Utah Tech,,TBD,Utah Tech,hasla_only,,Utah Tech,Utah Tech Trailblazers,Utah Tech
Utah Tech Trailblazers,,,Utah Tech Trailblazers,TBD,Utah Tech Trailblazers,drate_only,,Utah Tech,,Utah Tech
Utah Utes,,,Utah Utes,TBD,Utah Utes,drate_only,,Utah,,Utah
UTEP,,UTEP,,TBD,UTEP,hasla_only,,UTEP,UTEP Miners,UTEP
Utsa,,,Utsa,TBD,Utsa,drate_only,,UTSA,UTSA Roadrunners,UTSA
Vcu,,,VCU Rams,TBD,Vcu,drate_only,,VCU,VCU Rams,VCU
Villanova,Villanova,Villanova,Villanova Wildcats,TBD,Villanova,✓,Villanova,Villanova,Villanova Wildcats,Villanova
VMI,,,VMI,TBD,VMI,drate_only,,VMI,,VMI
Wake Forest,Wake Forest,Wake Forest,Wake Forest Demon Deacons,TBD,Wake Forest,✓,Wake Forest,Wake Forest,Wake Forest Demon Deacons,Wake Forest
Washington St.,,Washington St.,,TBD,Washington St.,hasla_only,,Washington St.,,Washington State
William & Mary,William & Mary,William & Mary,William & Mary Tribe,TBD,William & Mary,FIXED_SUN,William & Mary,William & Mary,William & Mary Tribe,William & Mary
Winthrop,,,Winthrop,TBD,Winthrop,drate_only,,Winthrop,Winthrop Eagles,Winthrop
FIU,FIU,FIU,FIU Golden Panthers,TBD,FIU,✓,FIU,FIU,Florida Int'l Golden Panthers,Florida International
Grand Canyon,Grand Canyon,Grand Canyon,Grand Canyon Antelopes,TBD,Grand Canyon,✓,Grand Canyon,Grand Canyon,Grand Canyon Antelopes,Grand Canyon
Loyola Chicago,Loyola Chicago,Loyola-Chicago,Loyola Chicago Ramblers,TBD,Loyola Chicago,✓,Loyola Chicago,Loyola Chicago,Loyola (Chi) Ramblers,Loyola Chicago
Miami (OH),Miami (OH),Miami (OH),Miami RedHawks,TBD,Miami (OH),✓,Miami (OH),Miami OH,Miami (OH) RedHawks,Miami (OH)
Nebraska-omaha,Nebraska-omaha,Omaha,Omaha Mavericks,TBD,Omaha,✓,Omaha,Nebraska Omaha,Omaha Mavericks,Omaha
Northern Arizona,Northern Arizona,N. Arizona,Northern Arizona Lumberjacks,TBD,Northern Arizona,✓,Northern Arizona,Northern Arizona,Northern Arizona Lumberjacks,Northern Arizona
Northern Iowa,Northern Iowa,Northern Iowa,Northern Iowa Panthers,TBD,UNI,✓,Northern Iowa,Northern Iowa,Northern Iowa Panthers,Northern Iowa
Ole Miss,Ole Miss,Ole Miss,Ole Miss Rebels,TBD,Ole Miss,✓,Ole Miss,Mississippi,Ole Miss Rebels,Ole Miss
Oral Roberts,Oral Roberts,Oral Roberts,Oral Roberts Golden Eagles,TBD,Oral Roberts,✓,Oral Roberts,Oral Roberts,Oral Roberts Golden Eagles,Oral Roberts
Princeton,Princeton,Princeton,Princeton Tigers,TBD,Princeton,✓,Princeton,Princeton,Princeton Tigers,Princeton
Rhode Island,Rhode Island,URI,Rhode Island Rams,TBD,Rhode Island,✓,Rhode Island,Rhode Island,Rhode Island Rams,Rhode Island
Rice,Rice,Rice,Rice Owls,TBD,Rice,✓,Rice,Rice,Rice Owls,Rice
Samford,Samford,Samford,Samford Bulldogs,TBD,Samford,✓,Samford,Samford,Samford Bulldogs,Samford
San Jose State,San Jose State,San Jose State,San Jose State Spartans,TBD,San Jose St.,✓,San Jose State,San Jose St.,San José St Spartans,San José State
South Dakota State,South Dakota State,South Dakota St.,South Dakota State Jackrabbits,TBD,South Dakota St.,✓,South Dakota State,South Dakota St.,South Dakota St Jackrabbits,South Dakota State
Southeast Missouri State,Southeast Missouri State,SE Missouri St.,SE Missouri State Redhawks,TBD,Southeast Mo. St.,✓,Southeast Missouri State,Southeast Missouri St.,SE Missouri St Redhawks,Southeast Missouri State
Temple,Temple,Temple,Temple Owls,TBD,Temple,✓,Temple,Temple,Temple Owls,Temple
Towson,Towson,Towson,Towson Tigers,TBD,Towson,✓,Towson,Towson,Towson Tigers,Towson
Tulsa,Tulsa,Tulsa,Tulsa Golden Hurricane,TBD,Tulsa,✓,Tulsa,Tulsa,Tulsa Golden Hurricane,Tulsa
UC San Diego,UC San Diego,UC San Diego,UC San Diego Tritons,TBD,UC San Diego,✓,UC San Diego,UC San Diego,UC San Diego Tritons,UC San Diego
