i,date,sport,mkt,matchup,side,path,hcTier,agsTier,odds,units,outcome,profit,meanPct,top2Pct,meanClv,nHighPct,nElite,pctEdge,opposed,S1,S5,S8,S8b,S9,forWallets
343,2026-07-02,MLB,total,2026-07-02_MLB_pit_phi_total,Over 9.5,B,RANK,ELITE,-110,4,LOSS,-4,58.7,66,1.47,2,2,,Y,CUT,KEEP,KEEP,KEEP,KEEP,"bc44b0:70%,2f2a9e:50%,ac9705:56%,ad88a3:62%,cd2f63:56%"
344,2026-07-03,MLB,ml,2026-07-03_MLB_mil_ari,Milwaukee Brewers,A,MINI-,ELITE,-146,1,WIN,0.68,62.8,69,1.53,2,2,-3.9,Y,KEEP,KEEP,KEEP,KEEP,CUT,"2f2a9e:50%,4b912c:72%,5b1e50:66%"
345,2026-07-03,MLB,ml,2026-07-03_MLB_pit_wsh,Washington Nationals,A,TOP+,PREMIUM,-148,5,WIN,3.38,56.7,59.1,2.24,1,1,-10.7,Y,CUT,CUT,CUT,CUT,CUT,"4c64aa:56%,b839b3:52%,ad88a3:62%"
346,2026-07-03,MLB,ml,2026-07-03_MLB_tbr_hou,Tampa Bay Rays,A,TOP+,PREMIUM,-108,5,WIN,4.63,61.5,69.6,2.26,4,4,,N,KEEP,KEEP,KEEP,KEEP,KEEP,"1e8f33:52%,ac9705:63%,2f2a9e:50%,5b1e50:66%,70135d:65%,9a69c2:73%"
347,2026-07-03,SOC,ml,2026-07-03_SOC_cpv_arg,Argentina,A,CONFIRMED,ELITE,-650,1,LOSS,-1,67.4,84,0.95,4,5,26.3,Y,KEEP,KEEP,KEEP,KEEP,KEEP,"c9bba3:56%,0f9d74:68%,daf4de:46%,4b912c:72%,a82a75:96%,5b1e50:66%"
348,2026-07-03,SOC,ml,2026-07-03_SOC_egy_aus,Egypt,C,SHARP,WEAK,140,2.5,LOSS,-2.5,56.8,60.3,2.61,1,2,-1.9,Y,CUT,CUT,KEEP,KEEP,CUT,"2f2a9e:50%,de3f67:62%,c911a4:59%,cd2f63:56%"
349,2026-07-03,SOC,ml,2026-07-03_SOC_gha_col,Colombia,A,SUPER,ELITE,-235,6,WIN,2.55,60.1,66.4,1.92,4,3,,N,KEEP,KEEP,KEEP,KEEP,KEEP,"4edc5b:64%,946418:67%,7da3d5:64%,fea6f5:41%,c911a4:59%,5b1e50:66%"
350,2026-07-03,MLB,spread,2026-07-03_MLB_min_nyy_spread,Minnesota Twins,C,SHARP,WEAK,-106,3,LOSS,-3,61.7,61.7,1.29,1,1,-3.2,Y,KEEP,CUT,CUT,CUT,CUT,"1e8f33:52%,4b912c:72%"
351,2026-07-03,MLB,total,2026-07-03_MLB_bal_cin_total,Under 9.5,A,TOP+,LOCK,-110,5,WIN,4.55,67.2,67.2,2.18,2,2,14.9,Y,KEEP,KEEP,KEEP,KEEP,KEEP,"ac9705:63%,4b912c:72%"
352,2026-07-03,MLB,total,2026-07-03_MLB_cws_cle_total,Under 8.5,A,TOP+,PREMIUM,-110,5,WIN,4.55,65.8,73.9,2.44,3,3,,N,KEEP,KEEP,KEEP,KEEP,KEEP,"bc44b0:70%,7da3d5:64%,1e8f33:52%,f9e3d0:78%"
