date,team,opponent,odds,grade,ev,units,result,profit
2025-12-03,Mount St. Mary's,Sacred Heart,115,A,15.2%,3,LOSS,-1.00u
2025-12-03,Vanderbilt,SMU,-480,C,-24.3%,3,WIN,0.73u
2025-12-03,High Point,Southern Illinois,-475,C,-6.1%,3,LOSS,-3.50u
2025-12-03,Western Michigan,Southern Indiana,-250,B,2.8%,3,WIN,1.20u
2025-12-03,Radford,Southern Miss,-150,C,-3.3%,3,LOSS,-0.50u
2025-12-03,South Dakota State,Northern Arizona,-148,C,-15.6%,3,WIN,0.34u
2025-12-03,Montana State,St. Thomas (MN),-140,C,-6.5%,3,WIN,0.36u
2025-12-03,Tennessee State,Alabama A&M,-165,B,2.4%,4,LOSS,-5.00u
2025-12-03,Lipscomb,Tennessee Tech,-625,C,-9.1%,3,WIN,0.48u
2025-12-03,Stephen F. Austin,Texas Rio Grande Valley,-245,C,-0.5%,3,WIN,1.43u
2025-12-03,Rice,Texas State,-160,B,3.4%,4,WIN,3.13u
2025-12-03,UCLA,Washington,-110,B,2.4%,3,WIN,4.54u
2025-12-03,Georgetown,UMBC,-3335,C,-2.9%,3,WIN,0.03u
2025-12-03,Santa Clara,Utah Tech,-4500,C,-23.9%,3,WIN,0.02u
2025-12-03,San Diego State,Utah Valley,-425,C,-1.3%,3,WIN,0.24u
2025-12-03,Oregon State,Vermont,-140,A,6.6%,4,WIN,1.43u
2025-12-03,Texas,Virginia,-135,C,-6.1%,3,LOSS,-0.50u
2025-12-03,Youngstown State,Wright State,-160,C,-0.6%,4,WIN,0.94u
